claim_kind,model_id,backend,setup_id,reason,count
performance,yolov7_paper,hailo8,orin_nx_hailo8_01,contract_fail_or_unavailable,1
performance,yolov7_paper,hailo8,unknown_setup,contract_fail_or_unavailable,1
performance,yolov7_paper,hailo8_to_tensorrt,orin_nx_hailo8_01,contract_fail_or_unavailable,1
performance,yolov7_paper,hailo8_to_tensorrt,unknown_setup,contract_fail_or_unavailable,1
performance,yolov7_paper,tensorrt,orin_nx_hailo8_01,contract_fail_or_unavailable,2
performance,yolov7_paper,tensorrt,unknown_setup,contract_fail_or_unavailable,2
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,effective_command_window_not_verified,1
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,exact_runtime_work_units_missing,1
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,final_energy_gate_not_passed,1
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,measurement_execution_failed,1
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,native_output_endpoint_not_verified,1
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,native_quality_claim_result_not_verified,1
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,postprocess_not_ok,1
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,raw_input_energy_not_primary,1
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,scientific_primary_unavailable_or_unverified,1
energy,yolov7_paper,hailo8_to_trt,orin_nx_hailo8_01,screening_energy_policy_nonclaimable,1
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,effective_command_window_not_verified,1
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,exact_runtime_work_units_missing,1
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,final_energy_gate_not_passed,1
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,measurement_execution_failed,1
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,native_accuracy_gate_not_passed,1
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,postprocess_not_ok,1
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,raw_input_energy_not_primary,1
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,scientific_primary_unavailable_or_unverified,1
energy,yolov7_paper,native_full_hailo8,orin_nx_hailo8_01,screening_energy_policy_nonclaimable,1
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,effective_command_window_not_verified,1
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,exact_runtime_work_units_missing,1
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,final_energy_gate_not_passed,1
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,measurement_execution_failed,1
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,native_quality_claim_result_not_verified,1
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,postprocess_not_ok,1
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,raw_input_energy_not_primary,1
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,scientific_primary_unavailable_or_unverified,1
energy,yolov7_paper,native_full_tensorrt,orin_nx_hailo8_01,screening_energy_policy_nonclaimable,1
